question,pval,OR,confint_min,confint_max
q01_phrases,0.001987456891198326,2.0753642608819542,1.2865894364222934,3.36811708505033
q02_conversation,0.175725806453917,1.2244468587777493,0.9035527979197089,1.655625491548597
q03_odd_phrase,0.548634687171899,1.1176956669363187,0.7879103152010447,1.5784568079320527
q04_inappropriate_question,0.47713616949301985,1.1229907877484495,0.8144731311189705,1.543172340622237
q05_pronouns_mixed,0.30988118552826843,0.8729102777201098,0.6737219194650604,1.1290846217741073
q06_invented_words,0.30397785525518006,0.8687630227522495,0.6681292896899736,1.1275094025693155
q07_same_over,1,0.9954136975469065,0.7580300309462628,1.304463276870514
q08_particular_way,0.8306331042821807,1.0378163551912205,0.7763920221747207,1.3835645435769388
q09_expressions_appropriate,0.2827964319588245,1.1428838010417308,0.8986376898296836,1.4530222962481096
q10_hand_tool,0.41317049540438633,0.904323412377611,0.7141718709085512,1.1448320110936152
q11_interest_preoccupy,0.19141520531069112,0.8373020435885655,0.640010986223005,1.092604969709424
q12_parts_object,0.6892289534427939,1.0584368404168754,0.8077619067567805,1.3842855310500517
q13_interests_intensity,0.8675571619008234,1.0262972252803106,0.7278674904257095,1.4403239338263285
q14_senses,0.29419010495678743,0.8753868964743604,0.6805391121231097,1.1242621936900332
q15_odd_ways,0.00192721628719762,0.6678463942442364,0.5128412044373418,0.867046435427645
q16_complicated_movements,0.5286385865143798,0.9217816629804736,0.7128418987178201,1.1898588792691245
q17_injured_deliberately,0.03449797213121601,0.7779450222115794,0.6126100495689628,0.9869717590061896
q18_objects_carry,0.8155915086763772,1.0297055409562548,0.8137230368152316,1.303104238400145
q19_best_friend,0.5147682278258512,1.0857985577063958,0.8548666606750062,1.3801653252019146
q20_talk_friendly,0.34151373478748065,1.125339510654396,0.8849851230280964,1.4323047102856497
q21_copy_you,0.6368537392117593,0.9453950163234114,0.745067158743238,1.1999905479892337
q22_point_things,0.4131994125794533,1.1033527339785625,0.8715069968990398,1.3969689378907388
q23_gestures_wanted,0.8612401725723405,1.0207082266247072,0.8066359218304157,1.2917360923933594
q24_nod_head,0.029252057341719425,1.3140072675946644,1.023234881015287,1.686679181698869
q25_shake_head,0.0023010170031364705,1.48568113400073,1.146310945200934,1.9250260028293305
q26_look_directly,0.5766577500613065,0.918519170766624,0.6936767916182144,1.2187887129949189
q27_smile_back,0.12796895322489538,1.198808940803884,0.9467111060400717,1.5182508169731601
q28_things_interested,0.5660282080372615,1.079971848702337,0.834502580226447,1.395825641924445
q29_share,0.6765382557226863,1.0525060531123525,0.8272405004944992,1.3400865755160907
q30_join_enjoyment,0.8138608302728032,1.0325296293140345,0.8141098318551647,1.3090761020296708
q31_comfort,0.5981405585738568,0.9398503021529686,0.741948310601384,1.1907337883347766
q32_help_attention,0.13056810230665344,1.2253018310764685,0.9406123508830307,1.5943898958010152
q33_range_expressions,0.7704086096263291,1.0386022711534215,0.8206561683672978,1.3144831688663858
q34_copy_actions,0.45782144898189764,1.101904595424503,0.8578571438533035,1.4175901812003158
q35_make_believe,0.6801820271721333,1.0504154310532567,0.8279730305236163,1.3333616308069718
q36_same_age,0.9502674001802871,1.0121038934299174,0.786870081019407,1.3035978591107482
q37_respond_positively,0.3492775258901052,1.1183474303960628,0.8830046195864281,1.4170472123842413
q38_pay_attention,0.7415065630407209,0.9532239254156184,0.7307543026374839,1.2455453982431475
q39_imaginative_games,0.358451339805826,0.8769640377099622,0.6602143710603348,1.1672150783596587
q40_cooperatively_games,0.8911234335103874,1.0279765394094909,0.7794259439850078,1.3592031724481568
